S. No.,Entity,Logo,HQ,Domain,Description,Map Bucket 1,Map Bucket 2,Relevance Flag (Y/N),Sub Bucket,Tools/Products,Map Bucket 1 (Normalized),Logo_URL,Logo_File,Logo_Source
1.0,Panterra Global,,United Kingdom,https://www.panterra.global/,"Strategic advisory to governments/corporations, communications campaigns, elections & policy-engagement work",Media & Messaging,,Y,,,Messaging & Media,,/logos/placeholder.png,placeholder
3.0,influencethe.com,,Bulgaria,https://influencethe.com/,Disinformation detection & “community intelligence” platform; narrative creation/distribution and counter-messaging; political campaigning services (NationBuilder partner),Media & Messaging,,Y,Information Integrity / Disinformation,,Messaging & Media,,/logos/placeholder.png,placeholder
4.0,Electify,,,,"Secure online election software; customizable, verifiable voting for orgs & public bodies",Voting Tech,,Y,,,Voting Tech,,/logos/placeholder.png,placeholder
5.0,Genaios GmbH,,Germany,https://genaios.ai/,"AI-powered fact-checking, content originality & AI-text detection (detect fake news, AI-generated text)",Media & Messaging,,Y,,,Messaging & Media,,/logos/placeholder.png,placeholder
14.0,Pakflatt,,United Kingdom,https://www.pakflatt.com/,Manufacturer of polling booths and election-equipment solutions (including accessible voting devices),GovTech / Civic Infrastructure,Voting Tech,Y,,,GovTech / Civic Infrastructure,https://logo.clearbit.com/pakflatt.com,/logos/pakflatt-com.png,Clearbit
15.0,Salesforce Inc.,,United States,https://www.salesforce.com/,"Cloud-based CRM and enterprise software: marketing automation, customer service platforms, data & analytics, AI-driven customer engagement",Organisational Infrastructure,,Y,,,Organisational Infrastructure,https://logo.clearbit.com/salesforce.com,/logos/salesforce-com.png,Clearbit
16.0,Pelidum Trust & Safety,,Ireland,https://www.pelidum.com/,"Online safety / trust & safety solutions: content moderation, compliance, regulation advisory; public-sector / NGO focus",Media & Messaging,,Y,Information Integrity / Disinformation,,Messaging & Media,https://logo.clearbit.com/pelidum.com,/logos/pelidum-com.png,Clearbit
17.0,FiscalNote,,United States,https://fiscalnote.com/,"AI-driven policy and regulatory intelligence, global legislative tracking, stakeholder management and advocacy tools",Research,,Y,Regulatory & Legislative Intelligence,,Research & Insights,https://logo.clearbit.com/fiscalnote.com,/logos/fiscalnote-com.png,Clearbit
18.0,DSPolitical,,United States,https://www.dspolitical.com/,"Voter-targeted digital/ad tech for campaigns (connected TV, digital audio, programmatic political ads)",Media & Messaging,,Y,Ad Tech,,Messaging & Media,https://logo.clearbit.com/dspolitical.com,/logos/dspolitical-com.png,Clearbit
20.0,Future Shift Labs,,India,https://futureshiftlabs.com/,"Advisory & research on emerging technologies, AI policy, governance in tech–politics interface",Research,,Y,Emerging Tech & Governance Research,,Research & Insights,https://logo.clearbit.com/futureshiftlabs.com,/logos/futureshiftlabs-com.png,Clearbit
24.0,eXplain,,France,https://www.explain.fr/,AI-startup focused on public-sector data and automating administrative/document workflows; founders previously created a campaign-tool used in European elections,Data Analytics and Modeling,,Y,,,Data Analytics & Modeling,https://logo.clearbit.com/explain.fr,/logos/explain-fr.png,Clearbit
25.0,Movement,,United Kingdom,https://www.yourmovement.org/,"Digital campaigning platform: CRM + email, SMS, WhatsApp, peer-to-peer, phone-banking for unions, NGOs and political groups",Volunteer Mobilisation,Voter Engagement,Y,,,Engagement & Mobilisation,https://icons.duckduckgo.com/ip3/yourmovement.org.ico,/logos/yourmovement-org.ico,DuckDuckGo
26.0,Mailchimp,,United States,https://mailchimp.com/,"Email marketing platform; email automation, audience segmentation, landing pages, SMS integrations, analytics for nonprofits, small businesses, advocacy groups",Media & Messaging,,Y,Email and Automation,,Messaging & Media,https://logo.clearbit.com/mailchimp.com,/logos/mailchimp-com.png,Clearbit
31.0,TikTok,,China,https://www.tiktok.com/about?lang=en,Short-form video social media platform; user-generated content; influencer & content ecosystem; digital advertising & audience reach,Media & Messaging,,Y,,,Messaging & Media,https://logo.clearbit.com/tiktok.com,/logos/tiktok-com.png,Clearbit
32.0,Polit - X,,Germany,https://polit-x.de/en/,"Political monitoring & data platform: tracks federal/state/EU legislation, stakeholders, municipal data; provides alerts, analytics, search of public political documents",Data Analytics and Modeling,,Y,,,Data Analytics & Modeling,https://logo.clearbit.com/polit-x.de,/logos/polit-x-de.png,Clearbit
34.0,Political Watch,,Spain,https://politicalwatch.es/,"Civic-tech and advocacy organisation: developing tech for citizen oversight, open data, transparency & democratic participation",Civic Tech,,Y,Participation Tech?,,GovTech / Civic Infrastructure,https://logo.clearbit.com/politicalwatch.es,/logos/politicalwatch-es.png,Clearbit
35.0,Say No To Disinfo,,United Kingdom,https://www.saynotodisinfo.com/,Evidence-informed counter-disinformation consultancy & tool-support: mining research studies + AI for narrative threat detection & response,Media & Messaging,,Y,Information Integrity / Disinformation,,Messaging & Media,https://logo.clearbit.com/saynotodisinfo.com,/logos/saynotodisinfo-com.png,Clearbit
36.0,Acquia,,United States,https://www.acquia.com/,"Digital experience platform: cloud-hosting, CMS/Drupal, content/data management, campaign/marketing automation, personalization for large institutions",Organisational Infrastructure,,Y,,,Organisational Infrastructure,https://logo.clearbit.com/acquia.com,/logos/acquia-com.png,Clearbit
40.0,EuroSense,,Belgium,https://www.eurosense.eu/,"Europe-wide citizen science network using a tool called SenseMaker® to collect and analyse lived citizen experiences (stories) for policy makers, activists and governments — enabling more inclusive democratic engagement",Research,Participation Tech,Y,,,Research & Insights,https://logo.clearbit.com/eurosense.eu,/logos/eurosense-eu.png,Clearbit
44.0,Trollrensics,,Netherlands,https://www.trollrensics.com/,Disinformation-forensics: software to track troll/fake-account networks on social media + research into coordinated campaigns,Media & Messaging,,Y,Information Integrity / Disinformation,,Messaging & Media,https://logo.clearbit.com/trollrensics.com,/logos/trollrensics-com.png,Clearbit
46.0,Eulytix,,Hungary,https://eulytix.eu/,"Big-data platform for European legislative amendments; tracks EU parliamentary activity, provides analytics for NGOs, researchers and lobbyists",Data Analytics and Modeling,,Y,Regulatory & Legislative Intelligence,,Data Analytics & Modeling,https://logo.clearbit.com/eulytix.eu,/logos/eulytix-eu.png,Clearbit
49.0,Digiknall GmbH,,Austria,https://www.digiknall.eu/,Social media campaigning agency,Media & Messaging,,Y,,,Messaging & Media,https://logo.clearbit.com/digiknall.eu,/logos/digiknall-eu.png,Clearbit
50.0,eKairos,,Germany,https://ekairos.net/,"Civic-tech / digital participation platform enabling large-scale, hybrid/asynchronous citizen engagement and bottom-up processes; uses AI to surface patterns and insights",Participation Tech,,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/ekairos.net,/logos/ekairos-net.png,Clearbit
54.0,HubSpot,,United States,https://www.hubspot.com/,"All-in-one inbound marketing, sales and service CRM platform; includes marketing automation, social media management, data hub, content hub and AI enhancements",Media & Messaging,,Y,Marketing & Outreach,,Messaging & Media,https://logo.clearbit.com/hubspot.com,/logos/hubspot-com.png,Clearbit
56.0,Change.org,,United States,https://www.change.org/,"Online petition platform enabling citizens to launch campaigns, mobilise support, and influence decision-makers globally",Participation Tech,,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/change.org,/logos/change-org.png,Clearbit
60.0,Appinio,,Germany,https://www.appinio.com/en/,"AI-powered market-research platform: real-time surveys, insights from millions of respondents across many markets",Research,,Y,,,Research & Insights,https://logo.clearbit.com/appinio.com,/logos/appinio-com.png,Clearbit
63.0,Datack,,France,https://datack.com/,"Campaign & mobilisation consultancy (digital/PR agency for advocacy, electoral campaigns)",Voter Engagement,Volunteer Mobilisation,Y,,,Engagement & Mobilisation,https://icons.duckduckgo.com/ip3/datack.com.ico,/logos/datack-com.ico,DuckDuckGo
64.0,Policy Insider AI,,Germany,https://policy-insider.ai/,AI-powered real-time policy monitoring & public affairs intelligence platform,Research,GovTech,Y,Regulatory & Legislative Intelligence,,Research & Insights,https://logo.clearbit.com/policy-insider.ai,/logos/policy-insider-ai.png,Clearbit
65.0,Prismos,,Belgium,https://prismos.ai/,"AI-driven regulatory & public-policy monitoring platform: tracks reports, debates and agendas across jurisdictions, provides personalised policy intelligence",Research,GovTech,Y,Regulatory & Legislative Intelligence,,Research & Insights,https://icons.duckduckgo.com/ip3/prismos.ai.ico,/logos/prismos-ai.ico,DuckDuckGo
69.0,Voatz,,United States,https://voatz.com/,"Mobile/blockchain voting platform for elections, remote/overseas voting, ballots via smartphone/web",Voting Tech,,Y,,,Voting Tech,https://logo.clearbit.com/voatz.com,/logos/voatz-com.png,Clearbit
70.0,Estratos,,Austria,https://www.estratos.eu/,"Tools and services (messaging, data, micro-fundraising, CRM) for political parties, NGOs and advocacy groups",Voter Engagement,Volunteer Mobilisation,Y,Marketing & Outreach,WinWithMe Direct Messaging Software,Engagement & Mobilisation,https://logo.clearbit.com/estratos.eu,/logos/estratos-eu.png,Clearbit
74.0,Cygnal,,United States,https://www.cygn.al/,"Political polling, public-opinion research, voter modelling & campaign-analytics",Research,Data Analytics and Modeling,Y,,,Research & Insights,https://logo.clearbit.com/cygn.al,/logos/cygn-al.png,Clearbit
75.0,PoliMonitor,,United Kingdom,https://www.polimonitor.com/,"Real-time political monitoring & media/lobby-intelligence platform: tracks parliamentarians, debates, social & traditional media across multiple countries",Research,Regulatory & Legislative Intelligence,Y,,,Research & Insights,https://logo.clearbit.com/polimonitor.com,/logos/polimonitor-com.png,Clearbit
