S. No.,Entity,Logo,HQ,Domain,Description,Category,Sub Category,Tools/Products
1,Panterra Global,https://eptl.vercel.app/logos/panterra-global.png,United Kingdom,https://www.panterra.global/,"Strategic advisory to governments/corporations, communications campaigns, elections & policy-engagement work",Strategy & Creative Production,Strategic Advisory & Agencies,
2,influencethe.com,https://eptl.vercel.app/logos/influencethe-com.png,Bulgaria,https://influencethe.com/,Disinformation detection & “community intelligence” platform; narrative creation/distribution and counter-messaging; political campaigning services (NationBuilder partner),Digital Comms & Advertising,Information Integrity & Defense,
3,Electify,https://eptl.vercel.app/logos/electify-vote.png,Singapore,https://www.electify.vote/,"Secure online election software; customizable, verifiable voting for orgs & public bodies",Participation & Election Tech,Voting & Election Systems,
4,Genaios GmbH,https://eptl.vercel.app/logos/genaios-ai.png,Germany,https://genaios.ai/,"AI-powered fact-checking, content originality & AI-text detection (detect fake news, AI-generated text)",Digital Comms & Advertising,Information Integrity & Defense,
5,Trail Blazer Campaign Services,https://eptl.vercel.app/logos/trailblz-com.png,United States,https://www.trailblz.com/,"Campaign CRM with voter/donor database, turf-cutting & mobile canvassing, mass email, online fundraising, and FEC/state compliance",Campaign Management & CRM,CRM Platforms,
6,Pakflatt,https://eptl.vercel.app/logos/pakflatt-com.png,United Kingdom,https://www.pakflatt.com/,Manufacturer of polling booths and election-equipment solutions (including accessible voting devices),Participation & Election Tech,Voting & Election Systems,
7,Salesforce Inc.,https://eptl.vercel.app/logos/salesforce-com.png,United States,https://www.salesforce.com/,"Cloud-based CRM and enterprise software: marketing automation, customer service platforms, data & analytics, AI-driven customer engagement",Campaign Management & CRM,CRM Platforms,
8,Pelidum Trust & Safety,https://eptl.vercel.app/logos/pelidum-com.png,Ireland,https://www.pelidum.com/,"Trust & Safety consultancy: MPAC AI content moderation engine, DSA/UKOSA compliance, policy advisory for platforms/SMEs/governments/NGOs on disinformation/election integrity.",Organisational Infrastructure,"Operations, Compliance & GDPR",
9,FiscalNote,https://eptl.vercel.app/logos/fiscalnote-com.png,United States,https://fiscalnote.com/,"AI-driven policy and regulatory intelligence, global legislative tracking, stakeholder management and advocacy tools",Research & Intelligence,Legislative & Policy Tracking,VoterVoice
10,ENKIME,https://eptl.vercel.app/logos/enkime-de.png,Germany,https://enkime.de/en,"Creator management, short-form digital content",Strategy & Creative Production,Creative AI & Content Production,
11,Future Shift Labs,https://eptl.vercel.app/logos/futureshiftlabs-com.png,India,https://futureshiftlabs.com/,"Advisory & research on emerging technologies, AI policy, governance in tech–politics interface",Research & Intelligence,Legislative & Policy Tracking,
12,eXplain,https://eptl.vercel.app/logos/explain-fr.png,France,https://www.explain.fr/,AI-startup focused on public-sector data and automating administrative/document workflows; founders previously created a campaign-tool used in European elections,Organisational Infrastructure,"Operations, Compliance & GDPR",
13,Movement,https://eptl.vercel.app/logos/yourmovement-org.png,United Kingdom,https://www.yourmovement.org/,"Digital campaigning platform: CRM + email, SMS, WhatsApp, peer-to-peer, phone-banking for unions, NGOs and political groups",Digital Comms & Advertising,Multi-channel Messaging,
14,Mailchimp,https://eptl.vercel.app/logos/mailchimp-com.png,United States,https://mailchimp.com/,"Email marketing platform; email automation, audience segmentation, landing pages, SMS integrations, analytics for nonprofits, small businesses, advocacy groups",Digital Comms & Advertising,Multi-channel Messaging,
15,TikTok,https://eptl.vercel.app/logos/tiktok-com.png,China,https://www.tiktok.com/about?lang=en,Short-form video social media platform; user-generated content; influencer & content ecosystem; digital advertising & audience reach,Digital Comms & Advertising,Social Media & Management,
16,Polit - X,https://eptl.vercel.app/logos/polit-x-de.png,Germany,https://polit-x.de/en/,"Political monitoring & data platform: tracks federal/state/EU legislation, stakeholders, municipal data; provides alerts, analytics, search of public political documents",Research & Intelligence,Legislative & Policy Tracking,
17,wahl.chat,https://eptl.vercel.app/logos/wahl-chat.png,Germany,https://wahl.chat/,AI-powered chat tool that allows users to ask parties’ programmes questions and compare political positions,Participation & Election Tech,Voting & Election Systems,
18,Say No To Disinfo,https://eptl.vercel.app/logos/saynotodisinfo-com.png,United Kingdom,https://www.saynotodisinfo.com/,Evidence-informed counter-disinformation consultancy & tool-support: mining research studies + AI for narrative threat detection & response,Digital Comms & Advertising,Information Integrity & Defense,
19,Acquia,https://eptl.vercel.app/logos/acquia-com.png,United States,https://www.acquia.com/,"Digital experience platform: cloud-hosting, CMS/Drupal, content/data management, campaign/marketing automation, personalization for large institutions",Organisational Infrastructure,AI & Data Infrastructure,
20,EuroSense,https://eptl.vercel.app/logos/eurosense-eu.png,Belgium,https://www.eurosense.eu/,"Europe-wide citizen science network using a tool called SenseMaker® to collect and analyse lived citizen experiences (stories) for policy makers, activists and governments — enabling more inclusive democratic engagement",Research & Intelligence,Public Opinion & Polling,
21,Trollrensics,https://eptl.vercel.app/logos/trollrensics-com.png,Netherlands,https://www.trollrensics.com/,Disinformation-forensics: software to track troll/fake-account networks on social media + research into coordinated campaigns,Digital Comms & Advertising,Information Integrity & Defense,
